; "SupportedThreads",64,"UsedThreads",64,"TotalMemory",135065378816,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1544803191,"CurrentTimeLocal","Fri Dec 14 07:59:51 2018","Hostname","nid01757","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 6.4e-05
; "Time_ContextDestroy [ms]", 0.000208
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",127,129,0,9,0,"Success",0.000332,0.026452,0.022466,0.013071,0.082047,0.084377,0.012751,0.00816,0.249916,131064,0,131064,1.204769732e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",127,129,0,10,0,"Success",0.000346,0.026049,0.022414,0.013052,0.081653,0.083405,0.012553,0.008358,0.248108,131064,0,131064,1.204769732e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",127,129,0,11,0,"Success",0.000368,0.026326,0.021639,0.013053,0.080669,0.08359,0.012477,0.008547,0.246935,131064,0,131064,1.204769732e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",255,257,0,0,1,"Warmup",0.006361,0.052199,0.038296,0.279047,22.764686,0.476987,0.062166,0.014149,23.694451,524280,0,524280,1.2385979904e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",255,257,0,1,1,"Warmup",0.000706,0.084382,0.073368,0.056424,0.409369,0.406477,0.060977,0.014298,1.106477,524280,0,524280,1.2385979904e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",255,257,0,2,1,"Success",0.000551,0.080303,0.069962,0.056921,0.379726,0.421089,0.061242,0.01434,1.084877,524280,0,524280,1.2385979904e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",255,257,0,3,1,"Success",0.000528,0.078521,0.069721,0.056629,0.4088,0.461614,0.061215,0.013791,1.151612,524280,0,524280,1.2385979904e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",255,257,0,4,1,"Success",0.000609,0.078847,0.068927,0.056799,0.38624,0.422763,0.061597,0.014759,1.091144,524280,0,524280,1.2385979904e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",255,257,0,5,1,"Success",0.000496,0.079531,0.068783,0.056926,0.379612,0.425958,0.060288,0.014228,1.086431,524280,0,524280,1.2385979904e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",255,257,0,6,1,"Success",0.000893,0.079124,0.069601,0.057096,0.410523,0.421276,0.061305,0.014562,1.115204,524280,0,524280,1.2385979904e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",255,257,0,7,1,"Success",0.000452,0.079562,0.06878,0.056405,0.318486,0.340351,0.060828,0.01451,0.939912,524280,0,524280,1.2385979904e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",255,257,0,8,1,"Success",0.000425,0.078532,0.068659,0.05698,0.329908,0.32462,0.061279,0.014779,0.935727,524280,0,524280,1.2385979904e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",255,257,0,9,1,"Success",0.000754,0.077925,0.069735,0.056606,0.311861,0.320565,0.060941,0.013603,0.912832,524280,0,524280,1.2385979904e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",255,257,0,10,1,"Success",0.000601,0.078118,0.069103,0.056807,0.349923,0.329112,0.061278,0.015076,0.960753,524280,0,524280,1.2385979904e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",255,257,0,11,1,"Success",0.000463,0.076994,0.070107,0.056966,0.31141,0.318682,0.061553,0.014222,0.911005,524280,0,524280,1.2385979904e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",256,267,0,0,4,"Warmup",0.006435,0.07017,0.061076,0.344647,0.208117,0.098918,0.063512,0.013751,0.867097,546816,0,546816,1.1835598102e-07,0
