; "SupportedThreads",64,"UsedThreads",64,"TotalMemory",135065206784,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1537232419,"CurrentTimeLocal","Mon Sep 17 18:00:19 2018","Hostname","nid01799","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 5.7e-05
; "Time_ContextDestroy [ms]", 2.5e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,0,71,"Warmup",0.004922,65.866449,64.73146,0.111868,1.095134,0.915194,0.13081,0.684532,133.541203,1042568,0,1042568,6.4662461083e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,1,71,"Warmup",0.005488,65.245165,64.909369,0.079303,1.09365,0.906591,0.131383,0.729135,133.100765,1042568,0,1042568,6.4662461083e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,2,71,"Success",0.005388,65.98871,64.690739,0.078289,1.093494,0.920241,0.130944,0.698961,133.607617,1042568,0,1042568,6.4662461083e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,3,71,"Success",0.00538,65.599314,64.769167,0.078435,1.154266,0.898571,0.131291,0.696003,133.333061,1042568,0,1042568,6.4662461083e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,4,71,"Success",0.005446,66.855318,64.718481,0.077721,1.165025,0.911913,0.131859,0.694337,134.560744,1042568,0,1042568,6.4662461083e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,5,71,"Success",0.006159,67.489981,65.59415,0.076617,1.17523,0.907308,0.12908,0.694611,136.073791,1042568,0,1042568,6.4662461083e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,6,71,"Success",0.005488,65.450808,64.72991,0.077232,1.252942,0.921511,0.131318,0.70604,133.275833,1042568,0,1042568,6.4662461083e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,7,71,"Success",0.005424,65.84114,64.901349,0.078003,1.09245,0.927467,0.129263,0.69854,133.674217,1042568,0,1042568,6.4662461083e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,8,71,"Success",0.00539,65.319732,64.655519,0.07578,1.1024,0.900356,0.131429,0.69934,132.89059,1042568,0,1042568,6.4662461083e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",130321,0,0,9,71,"Success",0.005348,65.349605,64.659616,0.077866,1.153341,0.929597,0.130753,0.691603,132.998286,1042568,0,1042568,6.4662461083e-08,0
