; "SupportedThreads",64,"UsedThreads",64,"TotalMemory",135065374720,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1545072972,"CurrentTimeLocal","Mon Dec 17 10:56:12 2018","Hostname","nid01775","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 6.4e-05
; "Time_ContextDestroy [ms]", 4e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",131072,0,0,1,0,"Warmup",0.000601,0.261831,0.26204,0.100637,0.125636,0.121642,0.102179,0.007548,0.982652,1048592,0,1048576,2.7755681495e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",131072,0,0,2,0,"Success",0.000642,0.264128,0.261858,0.100262,0.120877,0.122031,0.102623,0.007622,0.980622,1048592,0,1048576,2.7755681495e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",131072,0,0,3,0,"Success",0.000595,0.262137,0.271922,0.099326,0.121399,0.141092,0.103112,0.007714,1.007862,1048592,0,1048576,2.7755681495e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",131072,0,0,4,0,"Success",0.000636,0.263406,0.262976,0.100496,0.125886,0.120112,0.103249,0.007323,0.984622,1048592,0,1048576,2.7755681495e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",131072,0,0,5,0,"Success",0.000608,0.263635,0.259815,0.099879,0.121846,0.121619,0.102807,0.007492,0.978228,1048592,0,1048576,2.7755681495e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",131072,0,0,6,0,"Success",0.000598,0.262842,0.262287,0.100377,0.143805,0.119766,0.118286,0.007678,1.016216,1048592,0,1048576,2.7755681495e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",131072,0,0,7,0,"Success",0.000657,0.263515,0.262598,0.100868,0.120917,0.122866,0.103265,0.007621,0.982851,1048592,0,1048576,2.7755681495e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",131072,0,0,8,0,"Success",0.000575,0.264294,0.262595,0.099821,0.121145,0.123797,0.103383,0.007302,0.983441,1048592,0,1048576,2.7755681495e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",131072,0,0,9,0,"Success",0.000556,0.261918,0.260831,0.099834,0.126204,0.120389,0.113155,0.007963,0.991402,1048592,0,1048576,2.7755681495e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",131072,0,0,10,0,"Success",0.000632,0.263102,0.261861,0.098642,0.126222,0.121069,0.103196,0.007507,0.982743,1048592,0,1048576,2.7755681495e-17,0
"Fftw_mkl_gnuwrapper","Inplace","Real","double",1,"powerof2",131072,0,0,11,0,"Success",0.000579,0.261713,0.261826,0.10036,0.12467,0.124744,0.104241,0.007612,0.986297,1048592,0,1048576,2.7755681495e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Complex","double",1,"powerof2",131072,0,0,0,0,"Warmup",0.005641,0.125407,0.104053,0.185552,14.841008,4.943218,0.225873,0.577782,21.00903,4194304,0,2097152,5.0727880166e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Complex","double",1,"powerof2",131072,0,0,1,0,"Warmup",0.005981,0.118871,0.115183,0.183842,15.144277,4.727377,0.205728,0.558833,21.060574,4194304,0,2097152,5.0727880166e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Complex","double",1,"powerof2",131072,0,0,2,0,"Success",0.005906,0.118538,0.121053,0.184915,14.797976,4.734344,0.205702,0.563816,20.732731,4194304,0,2097152,5.0727880166e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Complex","double",1,"powerof2",131072,0,0,3,0,"Success",0.005972,0.125767,0.115322,0.185361,14.874945,4.792806,0.206367,0.61727,20.924323,4194304,0,2097152,5.0727880166e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Complex","double",1,"powerof2",131072,0,0,4,0,"Success",0.005903,0.119109,0.115245,0.184836,14.920834,4.722779,0.206188,0.563145,20.838524,4194304,0,2097152,5.0727880166e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Complex","double",1,"powerof2",131072,0,0,5,0,"Success",0.005795,0.125267,0.114644,0.185526,15.084635,4.8861,0.206165,0.564713,21.173313,4194304,0,2097152,5.0727880166e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Complex","double",1,"powerof2",131072,0,0,6,0,"Success",0.00589,0.125871,0.116229,0.186414,15.065313,4.879522,0.221485,0.575083,21.176386,4194304,0,2097152,5.0727880166e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Complex","double",1,"powerof2",131072,0,0,7,0,"Success",0.005713,0.123198,0.115229,0.184514,15.219857,4.77193,0.205812,0.565933,21.192708,4194304,0,2097152,5.0727880166e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Complex","double",1,"powerof2",131072,0,0,8,0,"Success",0.005718,0.12401,0.114717,0.184812,14.998458,4.766211,0.20651,0.570949,20.971913,4194304,0,2097152,5.0727880166e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Complex","double",1,"powerof2",131072,0,0,9,0,"Success",0.00557,0.117881,0.172454,0.190501,15.169743,4.764064,0.206655,0.561306,21.18877,4194304,0,2097152,5.0727880166e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Complex","double",1,"powerof2",131072,0,0,10,0,"Success",0.005646,0.121657,0.114847,0.185399,15.009289,4.785317,0.206116,0.563688,20.992439,4194304,0,2097152,5.0727880166e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Complex","double",1,"powerof2",131072,0,0,11,0,"Success",0.005647,0.118469,0.114734,0.185627,15.017632,4.802312,0.205471,0.564523,21.014939,4194304,0,2097152,5.0727880166e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",1,"powerof2",131072,0,0,0,0,"Warmup",0.000576,0.224584,0.223562,0.097035,0.114736,0.09926,0.102669,0.006126,0.868877,2097168,0,1048576,2.7755681495e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",1,"powerof2",131072,0,0,1,0,"Warmup",0.000563,0.22365,0.223521,0.097949,0.11654,0.098677,0.103136,0.006522,0.870924,2097168,0,1048576,2.7755681495e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",1,"powerof2",131072,0,0,2,0,"Success",0.000551,0.22473,0.223361,0.097648,0.115958,0.099682,0.102487,0.006219,0.871008,2097168,0,1048576,2.7755681495e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",1,"powerof2",131072,0,0,3,0,"Success",0.000556,0.225537,0.224185,0.097198,0.115199,0.09972,0.102408,0.00656,0.871767,2097168,0,1048576,2.7755681495e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",1,"powerof2",131072,0,0,4,0,"Success",0.000528,0.223769,0.22483,0.097518,0.132051,0.099397,0.119074,0.006394,0.903949,2097168,0,1048576,2.7755681495e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",1,"powerof2",131072,0,0,5,0,"Success",0.000545,0.223501,0.224537,0.097438,0.114819,0.097209,0.102798,0.006344,0.867555,2097168,0,1048576,2.7755681495e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",1,"powerof2",131072,0,0,6,0,"Success",0.000529,0.222453,0.224238,0.096689,0.114204,0.099079,0.103123,0.006417,0.867097,2097168,0,1048576,2.7755681495e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",1,"powerof2",131072,0,0,7,0,"Success",0.00053,0.224606,0.222743,0.096773,0.116209,0.09672,0.103025,0.00624,0.867202,2097168,0,1048576,2.7755681495e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",1,"powerof2",131072,0,0,8,0,"Success",0.000525,0.234213,0.23063,0.097626,0.116713,0.097821,0.101787,0.006458,0.886106,2097168,0,1048576,2.7755681495e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",1,"powerof2",131072,0,0,9,0,"Success",0.000507,0.224069,0.2221,0.097025,0.114031,0.101068,0.102203,0.0063,0.867646,2097168,0,1048576,2.7755681495e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",1,"powerof2",131072,0,0,10,0,"Success",0.000507,0.223507,0.222539,0.097272,0.115697,0.100231,0.103225,0.006484,0.869785,2097168,0,1048576,2.7755681495e-17,0
"Fftw_mkl_gnuwrapper","Outplace","Real","double",1,"powerof2",131072,0,0,11,0,"Success",0.000573,0.224696,0.224935,0.097227,0.115913,0.099048,0.109116,0.006835,0.878711,2097168,0,1048576,2.7755681495e-17,0
