; "SupportedThreads",64,"UsedThreads",64,"TotalMemory",135065206784,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1536721379,"CurrentTimeLocal","Tue Sep 11 20:02:59 2018","Hostname","nid01115","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.00015
; "Time_ContextDestroy [ms]", 4.8e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,11,0,"Success",0.000163,0.016827,0.011742,8.8e-05,0.00017,4.8e-05,1.5e-05,0.0004,0.029723,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,0,1,"Warmup",0.000136,0.020649,0.014761,8.8e-05,0.00025,0.000199,6e-05,0.000682,0.037205,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,1,1,"Warmup",0.000135,0.020747,0.015547,8.4e-05,0.000212,0.000116,3.5e-05,0.000405,0.037546,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,2,1,"Success",0.000167,0.020262,0.015318,6.6e-05,0.000223,0.000117,3.5e-05,0.00041,0.036857,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,3,1,"Success",0.000161,0.020114,0.015268,6.9e-05,0.000212,8.9e-05,3.5e-05,0.000381,0.036639,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,4,1,"Success",0.000157,0.020397,0.015512,7e-05,0.000215,0.000124,3.7e-05,0.000381,0.037117,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,5,1,"Success",0.000163,0.020091,0.015295,8.5e-05,0.000215,9.5e-05,3.5e-05,0.000397,0.036649,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,6,1,"Success",0.00016,0.02035,0.015349,0.000105,0.000233,9.5e-05,3.7e-05,0.000399,0.036963,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,7,1,"Success",0.000166,0.020215,0.01552,7.1e-05,0.000208,0.000113,2.3e-05,0.000358,0.036943,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,8,1,"Success",0.000168,0.019776,0.015344,6.9e-05,0.000232,8.2e-05,4e-05,0.000377,0.036352,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,9,1,"Success",0.000173,0.022112,0.038681,6.2e-05,0.000235,0.000128,3.5e-05,0.000396,0.062066,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,10,1,"Success",0.000162,0.020118,0.015627,7e-05,0.000231,0.000101,3.5e-05,0.000395,0.036983,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,11,1,"Success",0.000164,0.020115,0.015314,5.8e-05,0.000234,0.000113,3.6e-05,0.00039,0.036641,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,0,2,"Warmup",0.000149,0.025299,0.018247,0.000108,0.000302,0.000166,4.7e-05,0.00046,0.045098,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,1,2,"Warmup",0.000179,0.023671,0.018034,8.4e-05,0.000282,0.000167,3.7e-05,0.00051,0.043202,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,2,2,"Success",0.000137,0.023909,0.017835,7e-05,0.00028,0.000152,3.7e-05,0.000447,0.043181,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,3,2,"Success",0.000134,0.022992,0.017886,6.6e-05,0.000294,0.000127,3.4e-05,0.000475,0.042286,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,4,2,"Success",0.00016,0.023503,0.017671,6.7e-05,0.00026,0.000124,2.3e-05,0.000469,0.042606,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,5,2,"Success",0.00018,0.023671,0.017657,5.1e-05,0.000258,0.000129,3.3e-05,0.000442,0.042682,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,6,2,"Success",0.000159,0.023333,0.018021,6.5e-05,0.000291,0.000159,2.3e-05,0.000443,0.042747,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,7,2,"Success",0.000158,0.023687,0.017676,6.7e-05,0.000272,0.000147,3.4e-05,0.000465,0.042775,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,8,2,"Success",0.000148,0.023634,0.01776,4.8e-05,0.000228,0.000122,3.4e-05,0.000472,0.042653,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,9,2,"Success",0.000158,0.02292,0.017658,5.4e-05,0.000231,0.000117,3.4e-05,0.00048,0.041902,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,10,2,"Success",0.000175,0.047188,0.017779,6.9e-05,0.000235,0.000143,3.4e-05,0.000437,0.066296,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,11,2,"Success",0.000165,0.023176,0.017803,7.8e-05,0.000216,0.000127,2.2e-05,0.00045,0.042302,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",32,0,0,0,3,"Warmup",0.000168,0.030171,0.022143,8.3e-05,0.000369,0.000291,5.1e-05,0.000471,0.054077,256,0,256,0,0
