; "SupportedThreads",64,"UsedThreads",64,"TotalMemory",135065206784,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1536721661,"CurrentTimeLocal","Tue Sep 11 20:07:41 2018","Hostname","nid01115","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 4.6e-05
; "Time_ContextDestroy [ms]", 8e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,1,54,"Warmup",0.00049,0.067585,0.061567,0.093027,0.488359,0.481593,0.129013,0.005539,1.327526,1042568,0,1042568,8.0590305031e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,2,54,"Success",0.000461,0.066917,0.06095,0.094078,0.488112,0.483211,0.128957,0.005359,1.328352,1042568,0,1042568,8.0590305031e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,3,54,"Success",0.000397,0.066269,0.062646,0.094052,0.502243,0.483242,0.129405,0.005594,1.344188,1042568,0,1042568,8.0590305031e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,4,54,"Success",0.000403,0.066832,0.060883,0.09384,0.48829,0.482829,0.129572,0.005231,1.328211,1042568,0,1042568,8.0590305031e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,5,54,"Success",0.000379,0.066286,0.060916,0.09412,0.48792,0.484096,0.145183,0.005873,1.345116,1042568,0,1042568,8.0590305031e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,6,54,"Success",0.000432,0.066761,0.060942,0.093651,0.487403,0.482431,0.129419,0.005229,1.326606,1042568,0,1042568,8.0590305031e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,7,54,"Success",0.000356,0.066717,0.060769,0.094187,0.487505,0.482849,0.130049,0.005215,1.327979,1042568,0,1042568,8.0590305031e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,8,54,"Success",0.000417,0.066271,0.061173,0.094159,0.50263,0.483727,0.129359,0.004784,1.342847,1042568,0,1042568,8.0590305031e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,9,54,"Success",0.000431,0.066702,0.060809,0.094008,0.487542,0.482912,0.128839,0.005047,1.326621,1042568,0,1042568,8.0590305031e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,10,54,"Success",0.000408,0.066051,0.060919,0.094159,0.488194,0.482893,0.129512,0.005026,1.327507,1042568,0,1042568,8.0590305031e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,11,54,"Success",0.00042,0.066644,0.068637,0.093914,0.488476,0.482535,0.128938,0.005324,1.335216,1042568,0,1042568,8.0590305031e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,0,55,"Warmup",0.004356,0.57207,0.524976,13.519863,11.131477,15.873038,2.22758,5.192519,49.046622,19808792,0,19808792,1.1718578843e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,1,55,"Warmup",0.005871,0.701207,0.686748,15.533725,16.114134,15.280365,2.26453,5.185934,55.77304,19808792,0,19808792,1.1718578843e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,2,55,"Success",0.006204,0.702865,0.667844,15.398048,15.624356,15.345183,2.284934,5.212777,55.242749,19808792,0,19808792,1.1718578843e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,3,55,"Success",0.005893,0.700171,0.666666,15.606785,15.767401,15.412654,2.293569,5.160958,55.61462,19808792,0,19808792,1.1718578843e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,4,55,"Success",0.006521,0.711264,0.677162,15.52603,16.027347,15.482726,2.28074,5.159429,55.871677,19808792,0,19808792,1.1718578843e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,5,55,"Success",0.006579,0.70845,0.67442,15.420866,16.087465,15.39636,2.292413,5.138989,55.726084,19808792,0,19808792,1.1718578843e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,6,55,"Success",0.006254,0.709943,0.667438,15.52139,15.933271,15.588895,2.19577,5.159629,55.78317,19808792,0,19808792,1.1718578843e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,7,55,"Success",0.005906,0.702881,0.666742,15.657237,15.987935,15.633279,2.164172,5.193331,56.011934,19808792,0,19808792,1.1718578843e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,8,55,"Success",0.006539,0.709349,0.666517,15.585941,15.923417,15.298475,2.204155,5.199389,55.594239,19808792,0,19808792,1.1718578843e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,9,55,"Success",0.006011,0.702341,0.670942,15.568386,15.873484,15.276462,2.199138,5.231344,55.528552,19808792,0,19808792,1.1718578843e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,10,55,"Success",0.005894,0.700212,0.683233,15.680061,15.928729,15.310979,2.204909,5.214591,55.729118,19808792,0,19808792,1.1718578843e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,11,55,"Success",0.006203,0.701717,0.671576,15.579225,15.987093,15.620521,2.210801,5.209945,55.987562,19808792,0,19808792,1.1718578843e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,0,0,"Warmup",0.000208,0.001483,0.000613,4e-05,4.8e-05,6.1e-05,1.9e-05,0.000803,0.003445,32,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,1,0,"Warmup",0.0002,0.001579,0.000682,4.3e-05,4.5e-05,7.3e-05,2.6e-05,0.000911,0.003738,32,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,2,0,"Success",0.000202,0.001569,0.000669,4.2e-05,4.5e-05,7.2e-05,1.5e-05,0.000877,0.003683,32,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,3,0,"Success",0.000202,0.001599,0.000661,4.2e-05,4.4e-05,6.7e-05,2.6e-05,0.000898,0.003699,32,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,4,0,"Success",0.000179,0.001566,0.00065,4.3e-05,4.5e-05,7.3e-05,2.5e-05,0.000878,0.003662,32,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,5,0,"Success",0.000175,0.001574,0.000647,5.5e-05,4.4e-05,7.5e-05,2.6e-05,0.000911,0.003686,32,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,6,0,"Success",0.000193,0.001575,0.000658,4.4e-05,4.4e-05,6.8e-05,2.6e-05,0.0009,0.003684,32,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,7,0,"Success",0.0002,0.001567,0.000652,4.2e-05,4.5e-05,7.4e-05,2.6e-05,0.00088,0.003679,32,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,8,0,"Success",0.000192,0.00155,0.000653,4.3e-05,4.6e-05,7.4e-05,2.7e-05,0.000881,0.003646,32,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,9,0,"Success",0.000224,0.001599,0.000656,4.2e-05,4.6e-05,6.8e-05,1.4e-05,0.000898,0.003729,32,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,10,0,"Success",0.000183,0.00159,0.000649,4.4e-05,4.3e-05,7.3e-05,2.7e-05,0.000878,0.003677,32,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,11,0,"Success",0.000209,0.001554,0.000647,4.4e-05,4.6e-05,7.3e-05,1.4e-05,0.000896,0.003682,32,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,0,1,"Warmup",0.000479,0.002639,0.00075,8.9e-05,0.000267,0.000104,7e-05,0.001226,0.00588,64,0,64,5.6321095379e-09,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,1,1,"Warmup",0.000289,0.001654,0.00064,7.7e-05,6.6e-05,8.8e-05,1.9e-05,0.000921,0.003966,64,0,64,5.6321095379e-09,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,2,1,"Success",0.000301,0.001542,0.00069,4.4e-05,3.9e-05,9e-05,3.1e-05,0.000905,0.00381,64,0,64,5.6321095379e-09,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,3,1,"Success",0.000271,0.001595,0.000658,4.5e-05,4.9e-05,9.7e-05,1.6e-05,0.000915,0.003832,64,0,64,5.6321095379e-09,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,4,1,"Success",0.000307,0.00152,0.000639,6.6e-05,4.4e-05,9.4e-05,1.5e-05,0.000897,0.003796,64,0,64,5.6321095379e-09,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,5,1,"Success",0.00028,0.001612,0.000641,5.6e-05,4.6e-05,9e-05,1.6e-05,0.000892,0.003833,64,0,64,5.6321095379e-09,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,6,1,"Success",0.000305,0.001519,0.000647,4.7e-05,4e-05,0.000109,2.7e-05,0.000908,0.003769,64,0,64,5.6321095379e-09,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,7,1,"Success",0.000245,0.001562,0.000656,7.8e-05,5.5e-05,9e-05,2.6e-05,0.00091,0.003781,64,0,64,5.6321095379e-09,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,8,1,"Success",0.000278,0.001535,0.000647,4.5e-05,4.2e-05,9.2e-05,2.7e-05,0.0009,0.003764,64,0,64,5.6321095379e-09,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,9,1,"Success",0.000284,0.001523,0.000643,4.4e-05,4.2e-05,0.00011,1.5e-05,0.000893,0.003756,64,0,64,5.6321095379e-09,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,10,1,"Success",0.000259,0.001562,0.00065,5.2e-05,5.2e-05,9.1e-05,2.8e-05,0.000915,0.00379,64,0,64,5.6321095379e-09,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,11,1,"Success",0.000261,0.001532,0.000641,4.5e-05,4.3e-05,9e-05,2.7e-05,0.000891,0.003745,64,0,64,5.6321095379e-09,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,0,2,"Warmup",0.000389,0.002563,0.000693,9.2e-05,0.003495,0.000205,7.9e-05,0.001103,0.008871,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,1,2,"Warmup",0.000283,0.001812,0.000653,4.8e-05,7.2e-05,8.6e-05,2.8e-05,0.000929,0.0041,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,2,2,"Success",0.000278,0.001702,0.000675,4.1e-05,7.4e-05,6.2e-05,3.4e-05,0.000957,0.004008,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,3,2,"Success",0.000254,0.001721,0.000646,4.3e-05,6e-05,8.5e-05,1.8e-05,0.000933,0.003984,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,4,2,"Success",0.000275,0.001678,0.000652,4.3e-05,6.4e-05,7.3e-05,2.9e-05,0.000956,0.00396,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,5,2,"Success",0.00028,0.001634,0.000642,4.3e-05,6e-05,5.3e-05,1.7e-05,0.000955,0.00389,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,6,2,"Success",0.000307,0.001662,0.000648,4.5e-05,6.1e-05,7.2e-05,2.8e-05,0.00096,0.00396,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,7,2,"Success",0.00032,0.001651,0.000647,4.4e-05,7.3e-05,5.3e-05,1.7e-05,0.000941,0.003964,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,8,2,"Success",0.000309,0.00167,0.000645,4.4e-05,6.1e-05,5.5e-05,1.7e-05,0.000933,0.003934,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,9,2,"Success",0.000291,0.001641,0.000648,4.3e-05,7.3e-05,6.1e-05,2.8e-05,0.000945,0.00392,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,10,2,"Success",0.000284,0.001655,0.000647,4.2e-05,9.8e-05,7.3e-05,2.9e-05,0.000937,0.003939,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,11,2,"Success",0.00026,0.001667,0.00065,4.2e-05,6.1e-05,5.8e-05,1.6e-05,0.000927,0.00391,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",32,0,0,0,3,"Warmup",0.000384,0.003794,0.001039,0.000134,0.00246,0.001727,5.4e-05,0.001328,0.01127,256,0,256,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",32,0,0,1,3,"Warmup",0.000312,0.001966,0.000766,7.8e-05,0.000149,0.000124,3.4e-05,0.001062,0.004707,256,0,256,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",32,0,0,2,3,"Success",0.000233,0.001737,0.000722,6.8e-05,0.000145,0.000104,3.5e-05,0.001001,0.004246,256,0,256,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",32,0,0,3,3,"Success",0.00028,0.001689,0.000714,6.9e-05,0.000117,0.000116,3.5e-05,0.001038,0.004237,256,0,256,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",32,0,0,4,3,"Success",0.00029,0.001688,0.000704,6.9e-05,0.000116,0.000119,3.4e-05,0.001027,0.004236,256,0,256,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",32,0,0,5,3,"Success",0.000279,0.001666,0.000718,5.8e-05,0.000121,0.000116,1.7e-05,0.00103,0.004197,256,0,256,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",32,0,0,6,3,"Success",0.000279,0.001681,0.000704,7e-05,0.000117,0.000104,2.7e-05,0.00102,0.004192,256,0,256,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",32,0,0,7,3,"Success",0.000275,0.001666,0.000723,5.7e-05,0.000121,0.000107,2.8e-05,0.001014,0.004181,256,0,256,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",32,0,0,8,3,"Success",0.000283,0.001729,0.000706,6.9e-05,0.000114,0.000114,1.6e-05,0.001016,0.004247,256,0,256,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",32,0,0,9,3,"Success",0.000278,0.00168,0.000716,5.9e-05,0.000121,0.000105,2.9e-05,0.001001,0.004167,256,0,256,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",32,0,0,10,3,"Success",0.000275,0.001678,0.000719,5.8e-05,0.000113,0.000106,2.8e-05,0.001032,0.004175,256,0,256,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",32,0,0,11,3,"Success",0.000276,0.00168,0.000716,5.9e-05,0.000116,0.000111,2.7e-05,0.001004,0.004166,256,0,256,0,0
