; "SupportedThreads",272,"UsedThreads",272,"TotalMemory",101215670272,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1536875344,"CurrentTimeLocal","Thu Sep 13 14:49:04 2018","Hostname","nid07929","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.00023
; "Time_ContextDestroy [ms]", 0.00025
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,10,55,"Success",0.029771,2541.590826,2606.637854,3.558395,132.020521,95.985758,4.387105,17.279857,5401.496407,19808792,0,19808792,9.6167372373e-08,0
"Fftw","Inplace","Complex","float",1,"oddshape",2476099,0,0,11,55,"Success",0.03319,2546.479018,2611.556017,3.536025,73.373833,71.872954,4.370265,17.401089,5328.628431,19808792,0,19808792,9.6167372373e-08,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,0,0,"Warmup",0.00082,0.087461,0.057421,0.00098,0.00155,0.00088,0.00018,0.00199,0.153092,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,1,0,"Warmup",0.00084,0.090511,0.057611,0.00112,0.00158,0.00106,0.00017,0.00189,0.156612,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,2,0,"Success",0.00094,0.148612,0.060131,0.00099,0.00168,0.00125,0.00016,0.00192,0.217613,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,3,0,"Success",0.00082,0.088601,0.057551,0.00098,0.0013,0.00084,0.00015,0.00188,0.153852,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,4,0,"Success",0.00083,0.086811,0.057191,0.00112,0.00144,0.00093,0.00018,0.00188,0.152202,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,5,0,"Success",0.00082,0.086671,0.057311,0.00103,0.00157,0.001,0.00017,0.00189,0.152282,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,6,0,"Success",0.00083,0.088501,0.057731,0.00117,0.00153,0.00103,0.00017,0.00199,0.154792,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,7,0,"Success",0.00083,0.088261,0.058071,0.00113,0.00136,0.00099,0.00017,0.00189,0.154422,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,8,0,"Success",0.00082,0.086741,0.057611,0.00099,0.00176,0.00099,0.00018,0.00187,0.152742,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,9,0,"Success",0.00083,0.087981,0.05752,0.00112,0.001781,0.00093,0.00017,0.00195,0.154112,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,10,0,"Success",0.00082,0.089611,0.0574,0.00098,0.00152,0.00099,0.00018,0.00188,0.155221,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,11,0,"Success",0.00083,0.088122,0.0578,0.00079,0.00144,0.00093,0.00018,0.00188,0.153802,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,0,1,"Warmup",0.00083,0.102201,0.071711,0.001,0.00258,0.00175,0.00018,0.00204,0.184112,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,1,1,"Warmup",0.00083,0.100431,0.071201,0.001,0.00257,0.00182,0.00018,0.00193,0.181742,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,2,1,"Success",0.00201,0.102181,0.071931,0.00101,0.00259,0.00192,0.00016,0.0019,0.185132,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,3,1,"Success",0.00069,0.098421,0.071571,0.001,0.00247,0.00157,0.00016,0.00197,0.179643,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,4,1,"Success",0.00097,0.101431,0.071651,0.00095,0.00251,0.00155,0.00015,0.00198,0.182902,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,5,1,"Success",0.00094,0.102801,0.071691,0.00103,0.0024,0.00175,0.00017,0.00199,0.184582,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,6,1,"Success",0.0007,0.101992,0.07169,0.00101,0.002201,0.00167,0.00017,0.00197,0.183263,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,7,1,"Success",0.0007,0.103951,0.071621,0.001,0.00242,0.00198,0.00016,0.00201,0.185592,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,8,1,"Success",0.00082,0.102361,0.071841,0.001,0.00185,0.00175,0.00018,0.0019,0.183562,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,9,1,"Success",0.00098,0.101242,0.071951,0.00108,0.00239,0.00169,0.00018,0.00198,0.183293,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,10,1,"Success",0.00096,0.101851,0.071611,0.00095,0.0026,0.00184,0.00018,0.00212,0.183812,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,11,1,"Success",0.00082,0.101962,0.07187,0.00095,0.00248,0.00175,0.00015,0.001951,0.183723,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,0,2,"Warmup",0.0006,0.120302,0.084981,0.0008,0.00253,0.00131,0.00014,0.00204,0.214603,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,1,2,"Warmup",0.0006,0.116761,0.084261,0.00089,0.00457,0.00143,0.00017,0.00203,0.212732,128,0,128,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",16,0,0,2,2,"Success",0.00152,0.119091,0.084501,0.00091,0.00469,0.00352,0.00015,0.00206,0.217902,128,0,128,0,0
