; "SupportedThreads",272,"UsedThreads",272,"TotalMemory",101215670272,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1536876047,"CurrentTimeLocal","Thu Sep 13 15:00:47 2018","Hostname","nid07929","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.00028
; "Time_ContextDestroy [ms]", 0.00028
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,10,54,"Success",0.02433,3.010458,3.10647,0.199492,0.514467,0.497126,0.144122,2.759515,10.25979,1042568,0,1042568,1.146319721e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",130321,0,0,11,54,"Success",0.023291,3.019188,3.007718,0.201252,0.506056,0.484086,0.150092,2.704734,10.100067,1042568,0,1042568,1.146319721e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,0,55,"Warmup",0.02242,15.600257,15.550086,3.046719,11.400843,10.484443,2.713834,2.290719,61.115521,19808792,0,19808792,2.7602690501e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,1,55,"Warmup",0.019711,15.657247,15.555517,2.986077,10.666445,10.517393,2.677503,2.262979,60.348232,19808792,0,19808792,2.7602690501e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,2,55,"Success",0.01978,15.723539,15.596756,3.691137,10.443622,10.513433,2.706354,2.124687,60.825738,19808792,0,19808792,2.7602690501e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,3,55,"Success",0.02007,15.738918,15.579117,3.699717,10.513622,10.489663,2.702154,2.238988,60.988459,19808792,0,19808792,2.7602690501e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,4,55,"Success",0.02009,15.732199,15.558916,3.703727,10.536763,10.596764,2.677223,2.100637,60.932419,19808792,0,19808792,2.7602690501e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,5,55,"Success",0.021,15.753199,15.675618,3.694606,11.001519,11.007789,2.710614,2.32762,62.198095,19808792,0,19808792,2.7602690501e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,6,55,"Success",0.02113,15.409704,15.722169,3.693067,10.519732,10.570114,2.677104,2.149907,60.768637,19808792,0,19808792,2.7602690501e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"oddshape",2476099,0,0,7,55,"Success",0.020301,15.8565,15.446465,3.694876,10.510403,10.584234,2.707554,2.36435,61.190853,19808792,0,19808792,2.7602690501e-07,0
